"cod_municipio","volume_agua_produzido","agua_consumida","populacao_total","Estado.x","agua_consumida_por_habitante"
251130,3296,632.7,15985,"PB",0.395808570534877
251140,731.11,422.58,18670,"PB",0.226341724692019
251200,3550,211.8,18272,"PB",0.115915061295972
251203,0,34.67,3778,"PB",0.0917681312863949
251207,765,4.07,4245,"PB",0.00958775029446408
251210,9848,40.05,32712,"PB",0.0122432134996332
251220,138.72,84.32,4109,"PB",0.205208079824775
251230,360.4,260.1,22995,"PB",0.113111545988258
251240,56.15,48.2,13557,"PB",0.0355535885520395
251250,7945,1138.76,43667,"PB",0.260782742116472
251260,304,2.5,1901,"PB",0.0131509731720147
251270,0,0,19149,"PB",0
251274,0,0,3531,"PB",0
251275,120.66,62.4,4476,"PB",0.13941018766756
251278,0,0,1923,"PB",0
251280,0,9.41,8563,"PB",0.0109891393203317
251300,593,10.92,3871,"PB",0.0282097649186257
251310,1255,359.45,12144,"PB",0.295989789196311
251315,NA,NA,6583,"PB",NA
251320,1086,115.1,6579,"PB",0.174950600395197
251330,1128,11.55,5917,"PB",0.0195200270407301
251335,0,0,3594,"PB",0
251340,4400,17.75,15278,"PB",0.0116180128289043
251350,819,170.26,5223,"PB",0.325981236837067
251360,783,269.62,7113,"PB",0.379052439195839
251365,32.66,23.23,2680,"PB",0.0866791044776119
251380,944,173.08,4592,"PB",0.37691637630662
251385,NA,NA,2541,"PB",NA
251390,8094,32.34,33464,"PB",0.00966411666268229
251392,212.05,91.21,4451,"PB",0.204920242642103
251394,592,4.64,2563,"PB",0.0181037846273898
251396,NA,NA,3061,"PB",NA
251398,0,30.51,3375,"PB",0.0904
251400,162.78,111.02,4323,"PB",0.256812398797132
251410,NA,NA,4432,"PB",NA
251420,904,137.09,7677,"PB",0.178572358994399
251430,130.87,102.61,6231,"PB",0.164676616915423
251440,147.69,67.36,4684,"PB",0.143808710503843
251450,4151,871.36,19956,"PB",0.436640609340549
251455,NA,NA,3955,"PB",NA
251460,586,88.71,3492,"PB",0.254037800687285
251465,373,5.7,1780,"PB",0.0320224719101124
251470,1010,7.38,4124,"PB",0.0178952473326867
251480,117.9,82.19,3729,"PB",0.220407615982837
251490,2298,14.89,7756,"PB",0.0191980402269211
251510,1159,226.33,11677,"PB",0.193825468870429
251520,0,0,3440,"PB",0
251540,710,204.88,10900,"PB",0.187963302752294
251550,522.62,425.08,13564,"PB",0.313388381008552
